サービス名,URL,サービス概要
Aha!イベント,https://n2p.co.jp/aha/event/,"「Aha! イベントキャンペーン」サービス概要
株式会社NONAME Produceが提供する「Aha!」は、SNSでの集客（オンライン）と、イベント会場での印象的な体験提供（オフライン）を両立・連携させるキャンペーンシステムです。イベントとWeb/SNSをシームレスにつなぎ、認知拡大、参加者増加、UGC（口コミ）創出をワンストップで支援します。

1. サービスの主な特徴と強み
① オンライン（SNS）とオフライン（現場）のシームレスな連携

集客: SNSを活用した認知拡大キャンペーンで、イベント自体の集客をサポートします。

体験: イベント会場でQRコードを読み取る「デジタルスタンプラリー」や、会場限定の「NFTプレゼント」など、リアルの場で印象的なデジタル体験を提供します。

連動: イベント会場のオンライン配信や、SNSでのハッシュタグ投稿（感想・写真）をWebサイトにリアルタイムで反映させ、現場の盛り上がりをWeb上でも可視化します。

② 多彩なデジタル施策による体験価値の向上

デジタルクーポン: イベント会場で利用できるデジタルクーポンをX(Twitter)経由で配布するなど、来場インセンティブを設計できます。

オリジナル画像生成: イベント開始前の意気込みや、アーティストへの応援メッセージなど、ユーザーがオリジナルの画像を生成し、SNSでシェアする企画も可能です。

新技術への対応: メタバースやNFTといった新技術を取り入れた企画提案も可能です。

③ 企画から運用までワンストップでサポート

SNSでの集客施策、現場と連動したWebサイト制作、スタンプラリーシステム構築、SNS投稿収集、当日の運用サポートまで一括して対応します。

2. 対応可能な施策・機能一覧
施策タイプ

SNS投稿促進（ハッシュタグによる感想・写真）

Webサイト連動（オンライン配信、SNS投稿のリアルタイム反映）

デジタルクーポン（会場限定）

オリジナル画像生成

デジタルスタンプラリー（会場QRコード）

NFTプレゼント

主な機能

ハッシュタグ投稿収集（フォローチェック、当選連絡、賞品発送）

UGCのWebサイト掲載

キャンペーン拡散施策（広告配信など）

他のAha!パッケージ（クイズ、画像合成、インスタントウィン）との組み合わせ

3. 主な導入事例（抜粋）
SUBARU｜東京オートサロン: 特設サイトにて、ブース紹介やオンライン配信、X（Twitter）投稿の収集などを担当し、イベントの盛り上がりをWeb上でも表現しました。

大阪中之島FESTIVAL CITY｜Favorite Photoキャンペーン: Instagram写真投稿キャンペーンを制作。ランドマークの魅力を伝えるUGC（ユーザー投稿）を集め、拡散に寄与しました。"
Aha!インスタントウィン,https://n2p.co.jp/aha/instantwin/,"「Aha! インスタントウィンパッケージ」サービス概要
株式会社NONAME Produceが提供する「Aha!」は、Webサイト上で抽選に参加すると**その場で当選結果が分かる（即時抽選）**キャンペーンシステムです。このパッケージは単体ではなく、「マストバイ」「コンテンツ視聴」など様々なキャンペーンと組み合わせることで、参加のゲーム性を高め、インタラクティブな体験を提供します。

1. サービスの主な特徴と強み
① 体験価値の向上とファン化

「その場で当たる」というゲーム性・エンタメ性により、ユーザーの参加体験価値を向上させます。

当落演出にアニメーションを加えるなど、リッチな体験設計でファン化を促します。

マストバイキャンペーンの参加促進: 即時抽選の仕組みを組み合わせることで、購入（シリアル入力やレシート応募）のモチベーションを高めます。

② 多様な参加条件との組み合わせ

購入（マストバイ）: レシート、バーコード、シリアルコード等をトリガーに即時抽選。

行動喚起: 「コンテンツ（動画）視聴」「サービス登録」「友達紹介」などを応募条件に設定可能です。

③ 副次的な成果の創出

当落結果を表示する前に「告知動画を挿入」し、動画再生数を成果（KPI）に加えるなど、柔軟な設計が可能です。

2. 対応可能な施策・機能一覧
組み合わせ施策:

マストバイ（レシート/シリアル等）＋ 即時抽選

友達紹介 ＋ 即時抽選

コンテンツ視聴 ＋ 即時抽選

サービス登録 ＋ 即時抽選

主な機能:

当選確率調整: 「指定ツイートのRT」など、特定の条件で当選確率をアップさせ、SNS拡散を促します。

参加上限設定: 「1日1回のみ参加可能」など、ユーザーごとの参加制御が可能です。

参加者全員プレゼント: デジタル壁紙などを用意し、参加意欲を高めます。

X（Twitter）ログイン認証

デジタルギフト対応（準備から送付まで）

参加者情報の一覧化（CSV）

3. 主な導入事例（抜粋）
Kracie Holdings,Ltd | FRISK偉人の格言キャンペーン 商品記載のシリアルコードを入力すると、すぐに抽選結果が表示される「マストバイ＋即時抽選」を実装。さらに「指定ツイートのフォロー＆RT」を当選確率UPの条件に加え、キャンペーン自体の拡散にも寄与しました。"
Aha!ゲーム,https://n2p.co.jp/aha/game/,"
「Aha! ゲーム型キャンペーン」サービス概要
株式会社NONAME Produceが提供する「Aha!」は、キャンペーンに特化したゲームコンテンツを制作するシステムです。Webブラウザ上で動作する簡易なものから、WebARやVRといった最新技術を活用したものまで幅広く対応。SNS連動やオフライン（店舗・パッケージ）との連動により、遊びながら商品・ブランド認知やファン化を促進します。

1. サービスの主な特徴と強み
① 最新技術を活用したゲーム開発

Webブラウザの特性を活かしつつ、WebARやVRを活用したキャンペーン企画・開発が可能です。

「遊びながら商品について知ってもらう」体験を提供します。

② SNS連携による高い拡散性

ゲームの結果をSNS（X(Twitter)など）に投稿することをキャンペーンの応募条件として設定可能です。

ユーザーの能動的なシェアを促し、拡散性を高めます。

③ オンラインとオフライン（リアル）の連動

店舗誘導: イベント会場や店舗にQRコードやARマーカーを設置し、ゲームへ誘導します。

パッケージ起因: 商品パッケージ自体をゲームへの入り口（トリガー）にできます。

位置情報連動: 街中のPOP（QRコード）を読み込むことでゲーム状況が変化するなど、リアルとWebを連動させた企画が可能です。

2. 対応可能な施策・機能一覧
施策タイプ

Web/AR/VRゲーム開発

SNSシェアを参加条件に設定

イベント・店舗への誘導

パッケージ（商品）起因

位置情報連動

リアルタイム更新（サイト自動更新・切り替え）

主な機能

参加者情報の一覧化（CSV）

参加上限設定（1日1回など）

デジタルギフト対応

他のAha!パッケージ（クイズ、画像合成、インスタントウィン等）との組み合わせ

3. 主な導入事例（抜粋）
株式会社コロプラ | リアルマルチーAEGiS合同指定任務 全国の店舗ポスターにあるQRコードを読み込み、X(Twitter)でシェアすると、特設サイト内の敵を攻撃できる「協力型」キャンペーン。地域（位置情報）とツイート数を連動させ、キャラクターの討伐状況を切り替える演出を実装しました。"
Aha!UGC,https://n2p.co.jp/aha/ugc/,"「Aha! UGCパッケージ」サービス概要
株式会社NONAME Produceが提供する「Aha!」は、SNS上の**UGC（User Generated Content＝ユーザーが生成した独自のコンテンツ）**の投稿を促進・増加させるキャンペーンシステムです。写真や動画だけでなく、テキスト（エピソード、あるある等）やオリジナル作品（レシピ等）を含む広範な「ユーザーの口コミ」を収集・活用し、ファン化とオーガニックな宣伝効果を生み出します。

1. サービスの主な特徴と強み
① 広範な「口コミ」の創出と収集

「写真投稿」よりも広義のUGCを対象とします。商品やサービスの活用シーン（写真/動画）だけでなく、「あるある」や「思い出」といったエピソード（テキスト）、アレンジレシピ、大喜利など、多様な形式の「口コミ」投稿を促進します。

② オーガニックな宣伝効果とインサイトの把握

ユーザーが主体となって発信するリアルな声（UGC）を活用することで、商品やサービスの魅力を自然発生的に広める（オーガニックな宣伝）効果が期待できます。

投稿された内容から、消費者のリアルなニーズや活用エピソード（＝ユーザーインサイト）を把握できます。

③ 企画から運用までワンストップでサポート

「ユーザーに投稿・拡散されやすい企画テーマ」の提案から、特設サイト制作、UGCの収集、コンテストの受賞連絡、インフルエンサーのアサイン（審査員など）まで一括でサポートします。

2. 対応可能な施策・機能一覧
施策タイプ

コンテスト: アレンジレシピやオリジナル作品などを募集し、グランプリを選定。

商品利用シーン募集: ハッシュタグ付きの写真や動画を募集。

エピソード募集: 商品にまつわる「あるある」や「思い出」などのテキストを募集。

大喜利: 商品の特性に絡めた大喜利を開催。

主な機能

参加者情報（投稿テキスト/画像）の一覧化（CSV）

インフルエンサーのアサイン（審査員等）

UGCのリアルタイムWebサイト掲載

他パッケージ（クイズ、写真投稿、インスタントウィン等）との組み合わせ

3. 主な導入事例（抜粋）
森永乳業株式会社 | #俺のパルム #私のパルムキャンペーン 2つのハッシュタグと、X(Twitter)・Instagramという複数の参加ルートを設け、商品の写真や紹介といったUGC投稿を多数集めました。

株式会社コナミデジタルエンタテインメント | Jリーグベストイレブン予想 「UGC（ユーザーが選んだメンバー）」と「画像生成」パッケージを組み合わせ、ユーザーが自動生成された画像をX(Twitter)に投稿。11万人が参加する大規模なUGC創出キャンペーンとなりました。"
Aha!TikTokインスタントウィン,https://n2p.co.jp/aha/tiktokinstantwin/,"「Aha! TikTokインスタントウィン」サービス概要
株式会社NONAME Produceが提供する「Aha!」は、TikTok上のアクション（動画の投稿や視聴）を応募条件とする**即時抽選（インスタントウィン）**システムです。TikTokでのUGC（ユーザー生成動画）創出や、広告動画の視聴促進、商品・サービス認知の獲得を目的とします。

1. サービスの主な特徴と強み
① TikTokのUGC（動画投稿）を促進

「指定のハッシュタグをつけて動画を投稿すること」を即時抽選の応募条件に設定できます。

ユーザーによる動画投稿（UGC）の創出を強力に促します。

② 動画視聴（広告）をフックにした参加設計

TikTokの広告動画内で「キーワード」を発表し、特設サイトでそのキーワードを入力することを即時抽選の応募条件に設定できます。

インセンティブ目的だけでなく、動画視聴（商品理解）を促すことが可能です。

③ 運用負荷の軽減

キャンペーン参加者（動画投稿者など）のデータを自動で収集・一覧化（CSV）できるため、運用の負荷を軽減します。

簡易なキャンペーンLPの作成やレポート作成にも対応しています。

2. 対応可能な施策・機能一覧
施策タイプ

動画投稿 ＋ 即時抽選: 指定ハッシュタグでの動画投稿をトリガーに即時抽選。

動画視聴 ＋ 即時抽選: 動画広告内のキーワード入力をトリガーに即時抽選。

主な機能

抽選機能（当選確率設定、当選上限設定）

参加上限設定（1日1回など）

ユニーククーポンコードの表示

参加者情報の一覧化（CSV）

簡易キャンペーンLP作成

レポート機能

3. 参考事例（企業名）
クックパッド | TikTokコラボ 料理をもっと楽しもう 冬レシピチャレンジ

丸亀製麺 | 丸亀シェイクうどん

スターバックス | BANANANA BANANA TikTokエフェクト"
Aha!ChatGPT,https://n2p.co.jp/aha/chatgpt/,"「Aha! ChatGPTキャンペーン」サービス概要
株式会社NONAME Produceが提供する「Aha!」は、ChatGPTを活用してキャンペーンコンテンツを生成するシステムです。その高い話題性を活かし、診断・検定、クイズ、占い、さらには画像・動画の生成まで、AIによる対話型・生成型の新しいユーザー体験を提供します。

1. サービスの主な特徴と強み
① AIによる多様なコンテンツの自動生成

ChatGPTを活用し、従来の診断・検定・クイズを、より自然な対話形式で実施可能です。

テキストコンテンツだけでなく、キーワードに応じた画像生成や、AIがストーリーを生成するShort動画（短編アニメーション）の生成まで、幅広いコンテンツに対応します。

② 高い話題性と企画・運用サポート

「ChatGPT使用」という話題性自体が、プロモーションのフックとなります。

「ノウハウがない」「プライバシーが心配」といった課題に対し、18年間のキャンペーン研究に基づき、データを適切に保護する安全な運用を含め、企画からワンストップでサポートします。

③ SNSシェアを前提とした体験設計

ユーザーが入力した内容に基づき、AIが「自分だけの答え」や「オリジナルの画像」を生成します。

このユニークな体験結果をSNSでシェアすることが、キャンペーン参加や拡散のインセンティブとなります。

2. 対応可能な施策・機能一覧
施策タイプ

診断・検定: 自然なコミュニケーション形式での診断結果を生成。

クイズ・占い: 対話形式で柔軟な出題と返答が可能。

画像合成・生成: キーワードに基づいた自由度の高い画像生成。

Short動画生成: キーワード（Xの入力等）に応じてAIがストーリーを生成し、短編アニメーションを作成。

主な機能

キャンペーン拡散施策（結果シェアでインセンティブなど）

ハッシュタグ・画像収集（CSV）

他のAha!パッケージ（画像投稿など）との組み合わせ

専用管理画面（投稿管理、統計など）のオーダー制作

3. 主な導入事例（抜粋）
ジョージア | 毎ドラ部 AIイラストメーカー

meiji | 体調あるあるフィギュア展"
Aha!NFT,https://n2p.co.jp/aha/nft/,"「Aha! NFTインセンティブキャンペーン」サービス概要
株式会社NONAME Produceが提供する「Aha!」は、キャンペーンのデジタルインセンティブ（賞品）をNFT（非代替性トークン）化するシステムです。「世界に一つだけ」という複製不可能な価値を付与することで、インセンティブの魅力を高め、キャンペーン参加意欲の向上やブランド訴求、話題化を実現します。

1. サービスの主な特徴と強み
① デジタルインセンティブの「価値向上」と「差別化」

デジタルイラストやボイスデータなどをNFT化することで、「複製不可能」な特別感を付与し、賞品の価値を高めます。

従来のデジタルギフトや物理的な賞品との差別化が図れ、費用を抑えつつも特別感のあるインセンティブを提供可能です。

② 高い話題性とブランド訴求

「NFT」という話題性自体がキャンペーンのフックとなり、注目を集めることができます。

NFTインセンティブを通じてブランドの世界観を訴求し、ターゲット層へのエンゲージメントを深めます。

③ NFTの作成から配布までワンストップ

キャンペーンの企画・サイト制作だけでなく、インセンティブとなるNFTコンテンツ（音声、イラスト、動画等）の作成、および当選者への配布（例：LINE経由）まで一括してサポートします。

2. 対応可能な施策・機能一覧
対応可能なNFTの種類

音声NFT: アイドルのメッセージカード、人気声優のオリジナルボイスなど。

イラストNFT: 人気漫画家の描き下ろしイラストなど。

ゲームNFT: ゲームのキャラクターカード、トレーディングカードなど。

動画NFT: 限定音源や限定動画など。

主な機能

キャンペーン拡散施策（フォロー＆リポスト等）

キャンペーンサイト制作

参加者リストの作成（CSV）

専用管理画面（投稿管理、統計など）のオーダー制作

3. 主な導入事例（抜粋）
キャプテン翼 | ボールはともだちプロジェクト

孤高のグルメ | ひとり飯をみんなで楽しむプロジェクト

UNIVERSAL MUSIC JAPAN | NFTカレーレシピコンテスト"
Aha!顔認識,https://n2p.co.jp/aha/facerecognition/,"「Aha! 顔認識キャンペーン」サービス概要
株式会社NONAME Produceが提供する「Aha!」は、WebサイトやInstagramフィルター（SparkAR）上で顔認識技術を活用するキャンペーンシステムです。ユーザーの表情（笑顔、口の開きなど）を読み取り、ゲームのアクションやエフェクトを発動させることで、楽しく印象的な体験を提供し、自然な笑顔を促します。

1. サービスの主な特徴と強み
① 表情と連動した「体験型」ゲーム

ユーザーの「口を開ける」「笑顔になる」といった表情の変化をトリガーに、キャラクターをジャンプさせるといったARゲームを設計できます。

楽しみながら参加できるインタラクティブな体験を提供し、SNSでのシェアを促します。

② WebAR・Instagram（SparkAR）に両対応

Webブラウザ上で動作するWebARだけでなく、InstagramのSparkARを活用したオリジナルの顔認識フィルターの制作が可能です。

ユーザーの顔が見える企画や、化粧品のプロモーション（顔認証を起点としたゲーム）などと高い親和性があります。

③ 多様な企画への応用力

診断: カメラで顔を読み取り、似ているキャラクターなどを「顔診断」。

応募条件: AR上で「笑顔度」を判定し、基準を超えたら応募可能とする。

認証: 「顔認証」をログイン条件として使用し、マイレージ形式の企画に応用する。

2. 対応可能な施策・機能一覧
施策タイプ

AR顔認識ゲーム: 顔の表情（口を開ける等）で操作するゲーム。

笑顔認識: AR上で笑顔度を判定し、応募条件とする。

顔診断: カメラで顔を読み取り、似ているキャラクター等を診断。

ログイン認証: 顔認証をログインやマイレージ企画に活用。

主な機能

オリジナルゲーム制作（企画〜制作）

オリジナルフィルター制作（Instagram SparkAR等）

キャンペーンポータルサイト制作

専用管理画面（投稿管理、統計など）

3. 主な導入事例（抜粋）
クラシエ | #CHOI顔5秒チャレンジ

スターバックス | Sip,Smile,Spring

東ハト | みんなでうたエルコーン"
Aha!友達紹介,https://n2p.co.jp/aha/referafriend/,"「Aha! 友達紹介キャンペーン」サービス概要
株式会社NONAME Produceが提供する「Aha!」は、**友達紹介（リファラル）**キャンペーンを自動化するシステムです。紹介者と被紹介者の双方にインセンティブを付与する仕組みを構築し、会員登録数の増加や、リファラル経由での新規購買を促進します。

1. サービスの主な特徴と強み
① インセンティブ付与の自動化と運用負荷軽減

キャンペーン参加者のリスト化（CSV）や、当選者へのインセンティブ（ユニーククーポンコード等）の一括送信を自動化できます。

煩雑な紹介状況の管理・運用負荷を軽減します。

② LINEを起点とした紹介フロー

特にLINEキャンペーンと親和性が高く、「LINEで友達に招待リンクを送る」→「友達が登録・タップする」というシンプルな紹介フローを構築できます。

LINEと他のSNSを組み合わせた拡散施策も可能です。

③ 高度な抽選機能とNFT対応

高度な抽選: フォローの有無だけでなく、「懸賞アカウントの除外」「フォロワー数」「当選実績」など、多様な条件で応募者を絞り込む高度な抽選機能も備えています。

NFT対応: 友達紹介のインセンティブとして、話題性の高い「NFT」を作成・配布する施策にも対応可能です。

2. 対応可能な施策・機能一覧
施策タイプ

LINEインスタントウィン: LINE上で完結する即時抽選。

キーワード入力: 診断コンテンツなど、別施策の結果表示キーワード入力を条件とする。

店頭誘導施策: 店舗で画面を提示するとインセンティブが貰えるO2O施策。

X(Twitter)連動: シリアルコード入力やQRコード読み込みとの連携。

主な機能

高度な抽選機能: 懸賞アカウント除外、フォロワー数、当選実績などでフィルタリング。

参加者一覧の作成: 参加者の絞り込み、リスト保存、CSVダウンロード。

ユニークコード発行: 当選者ごとに個別のクーポンコードやURLを発行。

LINE×他SNSでの拡散施策

3. 主な導入事例（抜粋）
Lindt | 【おふたつ、リンツ。】リンドール診断

HafH | 1000万円分コインGET!!! ハフじゃんけん

東映株式会社 | 死神遣いの事件帖"
Aha for LINE,https://n2p.co.jp/ahaforline/,"「Aha! for LINE」サービス概要
ファンに近づくLINEキャンペーン

株式会社NONAME Produceが提供する「Aha! for LINE」は、LINEプラットフォーム上で「やりたかったけれどできなかった」多様なWebキャンペーンを実現するサービスです。Aha!の持つ12種類以上のキャンペーンパッケージをLINE上で展開可能。企画、デザイン、開発までをワンストップで提供し、他SNS（Twitter, Instagram, TikTok）と並行した施策も実施できます。

1. 「Aha! for LINE」の強みと技術（LIFF）
最大の強みは、LINEが提供する**LIFF（LINE Front-end Framework）**を活用している点です。

LIFFとは: ユーザーのLINEアカウント情報等を取得できるWebページを、LINEアプリ（トークルーム）内に作成・表示できる機能です。

実現できること: フォーム入力された情報やWebページでの行動を、ユーザーのLINEアカウントと完全に紐づけて取得できます。これにより、LINEプラットフォームの制限を超えた、Aha!の多彩なキャンペーン（レシート応募、診断、アンケート等）の実施が可能になります。

2. 対応可能キャンペーン（抜粋）
Aha!で可能なキャンペーンのほぼ全てを、LINE上で実施可能です。

レシートキャンペーン

シリアルコードキャンペーン

QRコードインスタントウィン（店頭QRなど）

友達登録インスタントウィン

アンケートキャンペーン

クイズ/診断キャンペーン

友達紹介キャンペーン

※これらの組み合わせも自由自在です。

3. LINEでキャンペーンを実施するメリット
① 圧倒的なアクティブユーザー数

国内月間8,900万人のアクティブユーザーにリーチ可能です。

ユーザーは新規アプリのDLやユーザー情報登録が不要なため、気軽に参加できます。

② 信頼度の高い「友だち」リストの獲得

登録に電話番号が必要なため、他のSNSに比べ「信頼度の高い」ユーザーリスト（友だち）を構築できます。

③ 獲得後のマーケティング基盤（CRM）

キャンペーンで獲得した「友だち」に対し、属性でセグメントしたメッセージ配信（メルマガ等）が可能になり、中長期的なマーケティング基盤となります。"
